stop,count
BVLH1,37564
SAL2,45942
AUL2,11534
MON3,79892
MPL9,57845
CRT,52115
CAIS1,78842
BIC3,88875
PARR3,88705
ENCO3,88367
OURO3,87126
BRV2,62972
FTM2,69149
PAL2,63380
FCUP1,62611
MLH3,43611
JNN2,42138
CRTO4,42919
CVA1,15641
HML1,14568
BVBR2,15244
CMS6,15863
CMS2,14001
SP,32897
RA2,34483
HSM2,8671
AVC2,8665
TPT2,6020
TPT3,4373
SRGB3,7700
SDP2,61709
PNV3,10500
SRV4,6155
DC5,24408
COMB4,25885
LIMA2,5793
MPL1,69169
CONS1,47521
CVLO1,41241
CTS2,8231
BLM,28622
MCBL,31571
PRDJ,51275
TRD6,8412
MAL3,3742
ARS5,23501
ENX2,28170
ASP4,29959
ST4,6835
IB2,8834
BCP1,14966
LGT3,21931
BLGT2,6884
AZV2,8110
PRF2,8907
EIR3,17260
ESCL2,2204
SPTO1,10064
AVF2,9108
PRCD2,17659
BNJ1,82247
EDRG2,93417
AANT5,1630
NAT2,65585
SVT4,35069
PLIM2,37695
COMB2,42584
LGO3,16695
ABVT2,102327
UFP2,7141
SRC2,46021
PAL3,23913
ST2,13830
AML3,14146
CPU2,3752
VNC2,2693
CMP5,21404
MON1,19722
IGRM1,8134
TLHR3,10051
BRRM2,6271
HSJ10,25162
TRD1,44107
SMAI1,24524
PRG1,74231
BPTL2,26048
MLH2,1078
CRTO2,1075
ARS3,1866
AA2,4345
ACO2,10589
STLN1,4586
PRI4,17886
ESCN2,8678
ASP2,9803
PRR3,21037
GCRT3,6263
AZ,8073
BS10,1904
LAPA1,18831
TPT1,259
TMEI1,259
AAS1,259
VNEM1,259
MRDR1,259
PCAR1,259
CORD4,14745
PRDJ1,14455
EQ3,5285
DPV3,30466
SI2,12410
BRB4,2775
PRO1,191530
EZC1,192032
MPAZ5,191188
IMTT1,193418
MATR1,13204
BSS2,37623
ACRD2,42430
AQL2,41100
HSM3,16120
SJBC2,26656
BLRB2,8666
BLRB1,4948
GGT2,84449
TIM1,46999
SOCR,12422
HMGL2,15677
LDD6,18441
LDD9,2922
ALD1,8806
VLRA3,459
AANT2,38527
PREC1,13641
SRP1,6537
BRVS,9230
RSR1,8744
AV1,7687
QTL1,7352
BRSE1,12178
ARS8,10181
RGSM2,12022
FEL1,9071
FEL2,9051
TARR2,9051
PASS4,14163
IFOZ2,24716
PRSM3,5285
PORI2,940
PASS1,940
INSA2,17625
CONT,195
AZC1,195
CNG1,11803
AGM2,142224
FLU3,36220
CRVH1,37152
OURO2,39501
PDVD3,58578
BFTM4,58987
LDD1,160926
HPRL4,8633
PVC2,19137
LDSM1,10558
PINM3,33043
BRP2,25217
ABM2,33785
UC2,40506
PCL2,55804
IPRN2,30585
CMPT2,18263
PT2,84788
PJUV2,10944
PGM2,13694
FLU1,16635
CQ5,50932
PCID3,50561
PCID4,1252
MLH1,5516
LDDM,8769
REV2,9858
BFTM2,15535
CPL2,9190
MTB1,10407
VNC1,10193
CPU1,12025
AML2,22314
ST1,25389
CNT1,35825
PG2,76957
FLUN2,80478
PLM2,103255
BRBQ1,231
ACAR,231
ESGZ1,235
DNAP3,229
CRV1,229
AFHQ3,229
ACD3,229
MTSP1,47806
BRCC2,22735
IPO2,2467
CSJ4,2657
OUTE4,36813
CZV4,33829
STLZ2,30612
BRRS2,23258
CF2,28279
LW2,33168
PQN1,8852
VLC1,10463
FBC1,9367
EQ5,2481
TRD4,2619
BLG2,11754
1HSJ2,86
HSJ6,1764
MCBL3,3654
ESED2,1745
QTL2,4075
AV2,4112
CAM3,44400
MLAR2,22234
STJ4,14594
STJ3,15271
ESGZ2,6
PREA2,6
DAFC2,2670
DAH2,2670
PQC2,4167
AVTE1,36298
ADA3,28720
ARSM3,830
ARSF3,830
ARSF4,850
ARSM2,850
HPRL2,45252
CORD1,400
1AL6,12545
HSJ2,69440
CVI5,13106
FTNH1,9890
CSP2,31213
FRNS2,3229
VRD2,4103
HSJ9,5965
ELVG2,27679
RBR2,30098
MS1,126793
1SBNT,129652
SRVM5,5598
JAE2,5099
ARNH2,7614
EDP2,93734
PAL7,4641
VTO4,6051
CMO1,7693
NDA2,94139
HSA6,286
CORD5,3334
CREI1,48730
LGO5,92337
LNEV1,33362
INF1,8647
DCAS1,10115
BCM3,6771
C24A5,20851
BL1,6330
GND1,16419
C24A4,22833
ALM1,12123
ICAM2,16234
MCAM2,26721
PBSS4,1917
PCC2,4164
LGTN1,7525
CPTO1,21382
PREG1,22546
VLC2,6090
PQN2,5933
RNH2,6832
CMP2,95064
ALFG5,7446
RCRT1,41304
ESPL1,8712
QSPL1,8706
JMRR1,8706
GENT2,8706
5771,8706
5773,8706
ESPL2,6
DQL,1951
CSS3,117096
PTDM1,6150
PRF4,12735
BFM4,23079
RBD2,7223
VRZL2,13208
EQ6,4128
JB2,131295
SRV2,22724
GC12,24904
ENCO2,39472
PARR1,41117
BIC2,43576
TVLR2,4085
TRR4,64961
DL1,34603
PCID1,47577
SAR1,47577
AVM1,47577
GODH5,47577
LOTA1,47577
SP1,47577
MATM1,47577
REAL2,3278
ARSR1,12422
MCE4,4387
FRX4,67718
RCP2,31
SR3,40
PSG1,10332
BLRB4,1866
RSR2,3916
SRP2,3724
RUL2,4078
MTB3,26
CSXS1,26
FGT1,26
CSXN1,26
PLG1,26
FGTR2,26
STA2,26
AP2,26
RNSG2,26
QCM1,26
QCM4,26
PDVD4,6496
BS4,2
VNFZ1,4778
SRPT2,7822
RAEP1,144
HSPH1,4
QSEC1,4
PREA1,4
NEV3,525
PRCD4,1147
TVA2,19695
AZV,22882
AAL5,102
CAIS2,3613
MON4,3611
RCP1,1327
AREI2,1623
